Pos,Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Receptions,Yards,Yards/Reception,TD,Yards/Game,Ctch%,Y/Tgt
wr,1,Jerry Rice*,1985,2004,1-16,TOT,NFL,303,284,1640,1549,22895,14.78,197,75.6,,
wr,2,Larry Fitzgerald,2004,2018,1-3,CRD,NFL,234,232,2154,1303,16279,12.49,116,69.6,60.5%,7.56
wr,3,Terrell Owens*,1996,2010,3-89,TOT,NFL,219,201,1867,1078,15934,14.78,153,72.8,57.7%,8.53
wr,4,Randy Moss*,1998,2012,1-21,TOT,NFL,218,193,1741,982,15292,15.57,156,70.1,56.4%,8.78
wr,5,Isaac Bruce,1994,2009,2-33,TOT,NFL,223,201,1770,1024,15208,14.85,91,68.2,57.9%,8.59
wr,6,Tony Gonzalez*,1997,2013,1-13,TOT,NFL,270,254,2012,1325,15127,11.42,111,56,65.9%,7.52
wr,7,Tim Brown*,1988,2004,1-6,TOT,NFL,255,202,1643,1094,14934,13.65,100,58.6,,
wr,8,Steve Smith,2001,2016,3-74,TOT,NFL,219,198,1748,1031,14731,14.29,81,67.3,59.0%,8.43
wr,9,Marvin Harrison*,1996,2008,1-19,CLT,NFL,190,188,1781,1102,14580,13.23,128,76.7,61.9%,8.19
wr,10,Reggie Wayne,2001,2014,1-30,CLT,NFL,211,197,1714,1070,14345,13.41,82,68,62.4%,8.37
